Match,Provider,Bet,Team,Timestamp
Astralis-vs-mousesports-yearmonthday,betway,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,ggbet,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,ggbetru-hidden,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,thunderpick,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,lootbet,1.3,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,bet365,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,1xbet,1.38,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,1xstavka-hidden,1.38,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,pinnacle,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,buff88,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,unibet,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,thunderfire-hidden,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,parimatch,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,skrilla-hidden,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,unikrn,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,vulkan,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,vulkanru-hidden,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,raybet-hidden,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,dongying-hidden,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,betwinner,1.38,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,yabo-hidden,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,shark-hidden,,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,rb88-hidden,1.38,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,bobbet-hidden,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,luckbox,1.35,Astralis,fecha
Astralis-vs-mousesports-yearmonthday,betway,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,ggbet,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,ggbetru-hidden,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,thunderpick,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,lootbet,3.3,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,bet365,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,1xbet,3.13,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,1xstavka-hidden,3.13,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,pinnacle,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,buff88,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,unibet,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,thunderfire-hidden,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,parimatch,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,skrilla-hidden,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,unikrn,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,vulkan,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,vulkanru-hidden,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,raybet-hidden,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,dongying-hidden,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,betwinner,3.13,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,yabo-hidden,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,shark-hidden,,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,rb88-hidden,3.13,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,bobbet-hidden,3.0,mousesports,fecha
Astralis-vs-mousesports-yearmonthday,luckbox,3.15,mousesports,fecha
FURIA-vs-MIBR-yearmonthday,betway,1.16,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,ggbet,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,ggbetru-hidden,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,thunderpick,1.17,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,lootbet,1.14,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,bet365,1.53,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,1xbet,1.49,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,1xstavka-hidden,1.49,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,pinnacle,1.15,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,buff88,1.14,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,unibet,1.56,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,thunderfire-hidden,1.12,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,parimatch,1.14,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,skrilla-hidden,1.61,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,unikrn,1.16,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,vulkan,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,vulkanru-hidden,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,raybet-hidden,1.15,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,dongying-hidden,1.12,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,betwinner,1.14,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,yabo-hidden,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,shark-hidden,,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,rb88-hidden,1.49,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,bobbet-hidden,1.13,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,luckbox,1.16,FURIA,fecha
FURIA-vs-MIBR-yearmonthday,betway,4.6,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,ggbet,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,ggbetru-hidden,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,thunderpick,4.68,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,lootbet,5.2,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,bet365,2.37,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,1xbet,2.61,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,1xstavka-hidden,2.61,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,pinnacle,5.1,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,buff88,5.6,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,unibet,2.3,MIBR,fecha
